marke,name,typ,liege_l_cm,liege_b_cm,packhoehe_cm,gewicht_kg,quelle,quelle_typ
Darche,Darche Basecamp 2200,softshell,240,220,33,87.0,https://darche.com.au/products/basecamp-2200-roof-top-tent,high
Darche,Darche Buffalo 1535,hartschale,205,145,18,85.0,https://darche.com.au/products/buffalo-1535-roof-top-tent,high
Darche,Darche Detachable,softshell,240,143,31,54.0,https://darche.com.au/products/detachable-roof-top-tent,high
Darche,Darche Double Dee,hybrid,240,155,31,96.0,https://darche.com.au/products/double-dee-hybrid-roof-tt,high
Darche,Darche Eco Ridgeback Green,hartschale,200,130,22,85.0,https://darche.com.au/products/eco-ridgeback-rtt-green,high
Darche,Darche Hi View 1600,softshell,240,160,33,65.0,https://darche.com.au/products/hi-view-1400-roof-top-tent,series
Darche,Darche Hi View 1800,softshell,240,180,30,70.0,https://darche.com.au/products/hi-view-1400-roof-top-tent,series
Darche,Darche Hi-View 220,softshell,240,220,33,87.0,https://darche.com.au/products/hi-view-1400-roof-top-tent,series
Darche,Darche Highland 1300,hartschale,210,125,18,72.0,https://darche.com.au/products/highland-1300-roof-top-tent,high
Darche,Darche Panorama 140,softshell,240,140,29,62.0,https://darche.com.au/products/panorama-rtt-1400-no-annex,high
Darche,Darche Panorama 140 Comfort,softshell,240,140,29,64.0,https://darche.com.au/products/panorama-rtt-1400-no-annex,series
Darche,Darche Panorama 160 Comfort,softshell,240,160,25,65.0,https://darche.com.au/products/panorama-rtt-1400-no-annex,series
Darche,Darche Ridgeback HD SHLL ECO Poly,hartschale,200,130,22,85.0,https://darche.com.au/products/ridgeback-hd-shll-eco-rtt-poly,high
Darche,Darche Streamliner 1250 RTT,hartschale,205,120,15,69.0,https://darche.com.au/products/streamliner-1250-rtt,high
Dare to be Different,Dare to be Different Outdoor 140 Light Weight,softshell,230,140,28,48.0,https://www.dtbdoutdoor.eu/de/dachzelte/dachzelt-140s-lw,high
Dare to be Different,Dare to be Different Outdoor 140L,softshell,230,140,38,59.0,https://www.dtbdoutdoor.eu/de/dachzelte/dachzelt-140-l,high
Dare to be Different,Dare to be Different Outdoor 140S,softshell,230,140,38,59.0,https://www.dtbdoutdoor.eu/de/daktenten/daktent-140s,high
Dare to be Different,Dare to be Different Outdoor Aniewhere,softshell,210,138,28,50.0,https://www.dtbdoutdoor.eu/de/dachtzelten/aniewhere,high
Dare to be Different,Dare to be Different Outdoor Deluxe 180 L,softshell,230,180,38,68.0,https://www.dtbdoutdoor.eu/de/dachzelte/dachzelt-180-l,high
Dare to be Different,Dare to be Different Outdoor Family 220XL,softshell,230,220,30,75.0,https://www.dtbdoutdoor.eu/de/dachzelte/dachzelt-220-xl,high
Dare to be Different,Dare to be Different Sitta 140,softshell,240,140,38,59.0,https://www.dtbdoutdoor.eu/de/dachzelten/dachzelt-sitta,high
Dare to be Different,Dare to be Different Sitta 180,softshell,230,180,38,65.0,https://www.dtbdoutdoor.eu/de/daktenten/daktent-sitta-180,high
Dare to be Different,Dare to be different Alau 140,softshell,230,140,38,64.0,https://www.dtbdoutdoor.eu/de/alau-140-dachzelt,high
Dark Barracks,Dark Barracks Basic 2.0,hartschale,203,130,24,98.0,https://shop.campwerk.de/dark-barracks-basic-mit-26m-leiter_1,dealer
Dark Barracks,Dark Barracks Grand 2.0 Pro,hartschale,230,150,24,120.0,https://shop.campwerk.de/dark-barracks-grand-mit-26m-leiter,dealer
Decathlon,Decathlon Hartschale Fresh & Black,hartschale,215,125,22,60.0,https://www.decathlon.de/p/dachzelt-hartschale-fresh-und-black-quechua-naitup-fuer-2-personen/_/R-p-342818,high
Decathlon,Decathlon MH 500 Fresh & Black,softshell,237,139,35,56.0,https://www.decathlon.de/p/dachzelt-fresh-and-black-mh500-fur-2-personen/331938/m8642422,high
Decathlon,Decathlon MH500 Family,softshell,200,213,30,80.0,https://www.decathlon.de/p/dachzelt-fresh-and-black-500-family-fur-vier-personen/364289/m8939574,high
Decathlon,Decathlon MH900 fresh & Black,softshell,207,138,35,52.0,https://www.decathlon.de/p/dachzelt-aufblasbar-fresh-and-black-mh900-fur-2-personen/344868/m8788265,high
Decathlon,Decathlon VAN 500 Fresh & Black,softshell,205,130,32,24.0,https://www.decathlon.de/p/dachzelt-aufblasbar-fresh-and-black-fur-2-personen-van/313004/c241c71c335m8575763,high
