marke,name,laenge_cm,breite_cm,hoehe_cm,volumen_l,gewicht_kg,max_zuladung_kg,quelle,confidence
Modula,Modula Wego 500,198,80,38,500,,75,https://www.modulacs.com/en/prodotti/roof-boxes/wego/,high
Mont Blanc,Mont Blanc Cargo 450 (Vista),175,95,38,450,16,50,https://www.montblancgroup.com/en/products/cargo-roof-box-450-450-483000,medium
Mont Blanc,Mont Blanc Vista 320,135,85,38,320,,50,https://www.amazon.de/Blanc-731906-Vista-Dachbox-silberschwarz/dp/B00492C4ZY,medium
Neumann,Neumann Whale 130,130,90,38,320,,50,https://www.autoteile-immler.com/neumann-whale-130-dachbox-320-liter-anthrazit-matt,medium
Neumann,Neumann Whale 200,200,90,45,520,18,50,https://www.traegerspezialist.de/Neumann-Dachbox-Whale-200-Carbon-schwarz-rechts-BW/,medium
Neumann,Neumann Whale 227,227,52,33,270,,50,https://scarcentrum.cz/index.php?id_product=63&rewrite=neumann-whale-227-&controller=product,medium
Norauto,Norauto Bermude 300,180,82,41,385,14.5,75,https://www.atu.de/produkt/norauto-bermude-300-dachbox-anthrazit-385-l-no2003,high
Norauto,Norauto Bermude 400,192,82,42,421,17.5,75,https://www.atu.de/produkt/norauto-dachbox-bermude-400-anthrazit-421-l-no2004,high
Norauto,Norauto Bermude 500,215,90,42,524,20.5,75,https://www.atu.de/produkt/norauto-dachbox-bermude-500-anthrazit-524-l-no2005,high
Nordrive,Nordrive Box 330,135,78,37,330,11,75,https://autoricambisanmauro.it/en/product/roof-box-en/box-da-tetto-auto-nordrive-box-330-baule-in-abs-330-litri-singola-apertura-grigio-goffrato-135x78x37-cm/,medium
Nordrive,Nordrive Box 430,190,78,36,430,14,75,https://www.king-truck.com/de/box-tett-nordrive-430.html,medium
Nordrive,Nordrive Box 530,201,90,40,530,17,75,https://autoricambisanmauro.it/en/product/roof-box-en/box-da-tetto-auto-nordrive-box-530-baule-in-abs-530-litri-singola-apertura-nero-goffrato-201x90x40-cm/,medium
Northline,Northline EcoSpace,190,67,36,310,15,75,https://www.einfach-campen.eu/dachbox-northline-ecospace-weiss-glaenzend,medium
Northline,Northline Element,200,90,29,320,20,75,https://www.northline-de.com/p/649/northline-element-schwarz-glanzend,high
Northline,Northline EvoSpace,190,67,36,310,15,75,https://www.northline-de.com/p/410/northline-evospacetef-black,high
Northline,Northline RoadSpace,205,84,35,420,21,75,https://www.northline-de.com/p/632/northline-roadspace-black-2,high
Northline,Northline Sunny L,175,91,45,430,18,75,https://www.northline-de.com/p/640/northline-sunny-l-schwarz,high
Northline,Northline Sunny XL,205,84,46,480,21,75,https://www.northline-de.com/p/657/northline-sunny-xl-schwarz,high
Northline,Northline Sunny XXL,230,96,47,630,25,75,https://www.northline-de.com/p/658/northline-sunny-xxl-schwarz,high
Northline,Northline Tirol 420,205,84,35,420,20,75,https://www.northline-de.com/p/424/northline-tiroltef-schwarz,high
Northline,Northline Yetti,131,72,36,300,10,50,https://www.northline-de.com/p/253/northline-yetti-black,high
Packline,Packline FX-SUV,210,90,27,400,25,,https://www.mydachbox.com/packline-dachboxen/fx-suv/,medium
Packline,Packline FX-SUV XL,222,90,29,460,29,,https://www.mydachbox.com/packline-dachboxen/fx-suv-xl/,medium
Packline,Packline NX 215,215,90,31,450,24,,https://www.mydachbox.com/packline-dachboxen/nx-215/,medium
Packline,Packline NX Premium DL,215,87,31,430,29,75,https://www.ahkautocar.de/15841-dachbox-packline-nx-premium-dl.html,medium
Packline,Packline NX Summit,210,85,34,450,26,,https://www.packline-roofbox.com/products/roof-boxes/fiberglass-roof-boxes/packline-nx-summit/,high
Packline,Packline NX Summit XL,220,90,34,460,30,,https://www.mydachbox.com/packline-dachboxen/nx-summit-xl/,medium
Packline,Packline NX Summit XLT,220,90,34,500,30,,https://www.packline-roofbox.com/products/roof-boxes/fiberglass-roof-boxes/packline-nx-summit-xlt/,high
Packline,Packline NX Traveller,225,87,37,560,21,,https://www.packline-roofbox.com/products/roof-boxes/plastic-roof-boxes/packline-nx-traveller/,high
Taurus,Taurus Adventure 340,190,67,42,340,19,75,https://www.taurus.info.pl/boxy-i-kosze/boxy-dachowe/box-dachowy-taurus-adventure-340-czarny-polysk,medium
Taurus,Taurus Adventure 480,205,82,46,480,26,75,https://www.taurus.info.pl/boxy-i-kosze/boxy-dachowe/box-dachowy-taurus-adventure-480-czarny-polysk,medium
Taurus,Taurus Altro 460,185,78,41,460,18,75,https://www.taurus.info.pl/boxy-i-kosze/boxy-dachowe/box-dachowy-taurus-altro-460-czarny-matowy,high
Taurus,Taurus Altro 500,200,90,41,500,,75,https://www.taurus.info.pl/boxy-i-kosze/boxy-dachowe/box-dachowy-taurus-altro-500-czarny-polysk,medium
Taurus,Taurus Strike 440,199,84,35,440,,75,https://www.taurus.info.pl/boxy-i-kosze/boxy-dachowe/box-dachowy-taurus-strike-440-czarny-polysk,medium
